id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Misty94@yahoo.com;um dreamer hector;2024-01-05T03:40:57;14837;25923
2;Alyson;Sanford;Godfrey_Rice@gmail.com;ounce;2024-01-04T19:12:04;22884;11440
3;Gisselle;Emard;Justice.Pfannerstill@hotmail.com;into gradient;2024-01-05T07:41:40;17871;21320
4;Heidi;VonRueden;Antonetta_Bradtke@gmail.com;badly;2024-01-04T12:24:03;15516;27325
5;Jeromy;Orn;Thalia_Jaskolski46@hotmail.com;triumphantly;2024-01-05T05:06:55;6917;26738
6;Joany;Lakin;Aleen89@gmail.com;unlike;2024-01-04T23:02:55;24996;26054
7;Eleanore;Cummings;Jackson94@hotmail.com;remortgage debut;2024-01-05T07:07:38;480;7990
8;Mason;Barrows;Talia.Gleason38@hotmail.com;and acquire;2024-01-05T04:43:56;25891;22733
9;Nickolas;Schuster;Earnest78@hotmail.com;considering canst;2024-01-05T09:49:50;13024;20205
10;Braden;Keebler;Lonny.Anderson@yahoo.com;whose;2024-01-04T21:33:02;13479;13155
